JACKSONVILLE INTL    JACKSONVILLE           24585  24854  1266677   8073.55   5411.32
KAHULUI              MAUI                   29624  31427  2094390   9015.42   1605.24
INTERNATIONAL        KANSAS CITY            52781  52834  3358116  18041.40  17014.09
LIHUE                KAUAI                  18704  19724  1264738    969.51    742.14
MEMPHIS INTL         MEMPHIS                94420  95198  3887208 614223.60  13168.89
GENERAL MITCHELL     MILWAUKEE              39724  40661  1915390  11747.66   8317.82
METROPOLITAN         NASHVILLE              57474  58060  3404243   7453.14   7887.41
INTL/MOISANT FIELD   NEW ORLEANS            49121  49606  3361062  15439.58   6139.07
NORFOLK REGIONAL     NORFOLK                26495  26824  1254846   5371.22   2530.79
WILL ROGERS WORLD    OKLAHOMA CITY          25347  25550  1519518   5316.15   4923.59
ONTARIO INTL         ONTARIO/SAN BERNARDINO 40925  41200  2640734   8488.64  10668.98
PORTLAND INTL        PORTLAND               69578  70763  3025345  33735.01  11622.95
RALEIGH-DURHAM       RALEIGH/DURHAM/RTP     66211  67304  4361369  16302.95   8429.76
RENO INTL            RENO                   21609  22010  1343619   3361.04   1543.59
ROCHESTER-MONROE CTY ROCHESTER              25132  25585  1154747   8092.40   2910.75
SACRAMENTO METRO     SACRAMENTO             39723  47086  1737096   5991.77  10284.73
SAN ANTONIO INTL     SAN ANTONIO            39740  40020  2593896  10049.59   7584.84
SAN JOSE MUNI        SAN JOSE               49173  50096  3128393  20971.84   3966.67
HANCOCK              SYRACUSE               29514  30065  1166598  11243.51   4347.42
TUCSON INTL          TUCSON                 20201  20413  1263509   3709.47   2740.06
TULSA INTL           TULSA                  24975  25217  1483037   8241.04   5582.49
PALM BEACH INTL      WEST PALM BEACH        29363  29625  2609138   3089.87   3424.48
AKRON-CANTON         AKRON/CANTON            5606   5806   230249    334.41    893.32
ALBANY COUNTY        ALBANY, NY             15007  15295   878372   2184.93   2712.69
ALLENTOWN-BETHEHEM   ALLENTOWN/BETHLEHEM     7744   7807   349358   2017.81    350.30
AMARILLO             AMARILLO                6616   6668   435297    327.14    781.19
RYAN                 BATON ROUGE             8837   8921   423808    526.69   1625.13
LOGAN FIELD          BILLINGS                8741   8868   237699    420.69   1738.63
BIRMINGHAM MUNI      BIRMINGHAM             20112  20185  1001983   5937.63   5255.40
BOISE AIR TERMINAL   BOISE                  16802  17121   525092   3007.15   1941.86
HARLINGEN INDUSTRIAL BROWNSVILLE             7444   7527   529042   3656.57      9.01
BURLINGTON INTL      BURLINGTON, VT          7507   7689   306489   1682.98   1143.32
CEDAR RAPIDS MUNI    CEDAR RAPIDS/IOWA CITY  7753   7810   341142   5937.53   1623.80
CHARLESTON AFB/MUNI  CHARLESTON, SC         14215  14380   631956   2179.36    866.09
LOVELL FIELD         CHATTANOOGA             5327   5388   239746   1046.56    197.31
PETERSON FIELD       COLORADO SPRINGS       10903  11001   551507    638.32    671.96
COLUMBIA METRO       COLUMBIA, SC           13531  13673   512759   6554.20   2009.81
CORPUS CHRISTI INTL  CORPUS CHRISTI          6651   6756   423498    298.30    639.46
DAYTONA BEACH REG    DAYTONA BEACH           7514   7507   490336    377.78     89.18
DES MOINES MUNI      DES MOINES             12144  12256   658619   1705.15   9042.02
MAHLON SWEET FIELD   EUGENE                  8074   8252   224658    857.10    601.00
FAIRBANKS INTL       FAIRBANKS               6150   6167   233809   6573.16   6431.49
MUNI/BAER FIELD      FORT WAYNE              7851   8062   242000   1114.74    662.03
FRESNO AIR TERMINAL  FRESNO                 20879  20993   393442    887.12    963.19
KENT COUNTY          GRAND RAPIDS           13086  13366   614280   4010.83   1650.33
GREENSBORO-HP-WS REG GREENSBORO/HIGH POINT  23519  23906   894532   9801.19   3841.67
GREENVILLE/SPARTANBG GREENVILLE/SPARTANBURG 11580  11739   503271   1314.55   1908.97
HARRISBURG INTL      HARRISBURG/YORK        10537  10746   437341   5692.89   1579.88
GENERAL LYMAN FIELD  HILO                   10868  10817   651191   4522.27   1139.18
MADISON COUNTY       HUNTSVILLE, AL          9880  10043   381668    734.72    457.42
PALM SPRINGS MUNI    INDIO/PALM SPRINGS      9270   9456   353294    151.42     54.68
LONG ISLAND-MCARTHUR ISLIP, LONG ISLAND      7001   7203   422400    542.59   1484.22
THOMPSON FIELD       JACKSON, MS             9001   9082   391018    543.63   1812.42
KE-AHOLE             KAILUA-KONA            14800  15527   977274   5166.70    887.18
MCGHEE TYSON         KNOXVILLE              10228  10234   477768   6192.36   1644.97
BLUE GRASS           LEXINGTON/FRANKFORT     7811   7913   291634    373.87   1331.34
ADAMS FIELD          LITTLE ROCK            15154  15310   950540    918.25   3616.92
STANDIFORD FIELD     LOUISVILLE             21813  21944   937645   8725.02   5618.14
LUBBOCK REGIONAL     LUBBOCK                11575  11691   611413   7282.66    546.74
TRUAX FIELD          MADISON, WI             8926   9158   425563   4044.83    873.45 
MUNICIPAL            MANCHESTER/CONCORD      6344   6455   267963   7091.74    632.01
CAPE KENNEDY REG     MELBOURNE               5838   5866   360126    133.58     34.15
MIDLAND REGIONAL     MIDLAND/ODESSA          8675   8762   580905    559.51    300.62
BATES FIELD          MOBILE/PASCAGOULA       9734   9824   380798   5438.91    646.60
QUAD CITY            MOLINE                  6286   6553   220093    394.09    310.27
EPPLEY AIRFIELD      OMAHA                  19952  19951   994132   5701.22  14391.15
PENSACOLA REGIONAL   PENSACOLA               8765   8930   394222    864.82   1429.55
PORTLAND INTL JETPRT PORTLAND, ME            8712   8956   472393   2526.91   1552.77
FRANCIS GREEN STATE  PROVIDENCE             16890  17113  1060719   2372.95   3402.81
BYRD FLYING FIELD    RICHMOND               20443  20652   864381   5403.95   3507.87
ROANOKE MUNI         ROANOKE                 7143   7347   224595    257.83    587.41
TRI CITY             SAGINAW/BAY CITY        3952   4036   219310    278.94    175.60
SANTA BARBARA        SANTA BARBARA           9999  10263   226472    806.88      0.01         
SARASOTA-BRADENTON   SARASOTA/BRADENTON     15765  15990   989935    542.07     71.36
SAVANNAH INTL        SAVANNAH               11089  11270   520881   1306.61    768.92
SHREVEPORT REGIONAL  SHREVEPORT              7656   7639   257229   6198.18   1618.82
FOSS FIELD           SIOUX FALLS             6466   6514   226436   1163.97   1556.28
MICHIANA REGIONAL    SOUTH BEND              6630   7072   224050   1826.00    212.82
SPOKANE INTL         SPOKANE                25315  25837   747329   7827.61   2283.69
TALLAHASSEE REGIONAL TALLAHASSEE             9193   9306   381840   1492.52    699.40
MID-CONTINENT        WICHITA                13772  13901   561432   6905.22   2928.32
